ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1,76.109024,-1,76.109024,-1,81.965485,1,81.763474,1,82.143448
51,1,29.499746,1,29.499746,1,32.611851,1,32.612431,1,32.41526
52,1,49.559711,1,49.559711,1,51.427433,1,51.810272,1,52.07608
53,-1,33.846699,-1,33.846699,-1,35.293045,-1,35.143684,-1,34.984276
54,-1,22.839046,-1,22.839046,-1,23.687752,-1,23.528082,-1,23.412104
55,1,15.271812,1,15.271812,1,16.856894,1,17.10844,1,17.138109
56,1,23.971361,1,23.971361,1,25.529028,-1,25.724241,-1,25.742752
57,-1,46.745674,-1,46.745674,-1,50.465412,1,50.267918,1,50.204323
58,-1,43.132431,-1,43.132431,-1,44.588089,-1,44.554832,1,44.455406
59,-1,37.662857,-1,37.662857,-1,42.745319,1,42.824184,1,42.538631
690,1,20.189695,1,20.189695,1,21.808264,1,22.020885,1,22.051767
692,1,20.238909,1,20.238909,1,21.208179,1,21.283665,1,21.290575
701,-1,19.921988,-1,19.921988,-1,20.895445,-1,21.033264,-1,21.072844
713,-1,29.858212,-1,29.858212,-1,30.598257,-1,30.706011,-1,30.721313
6201,1,13.159451,1,13.159451,1,13.859586,1,13.899727,1,13.88494
6203,1,35.575089,1,35.575089,-1,38.789051,-1,38.645744,-1,38.161163
6204,-1,50.25087,-1,50.25087,-1,53.998489,-1,54.038876,-1,53.831448
6208,-1,44.442375,-1,44.442375,-1,47.545677,-1,47.533592,-1,47.369041
